"id","id2","año","año2","año3","partido","fecha","fase","grupo","id_grupo","pais","pais_min","xx","xxx","id_jugador","apellido","nombre","xxxx","id_pais_jugador","pais_jugador","pais_jugador_min","tiempo_gol","tiempo_gol2","xxxxx","parte_partido","xxxxxx","xxxxxx"
"1","G-0001","1930","1930 FIFA World Cup","M-1930-01","France v Mexico","1930-07-13","group stage","Group 1","T-28","France","FRA","1","0","P-09831","Laurent","Lucien","0","T-28","France","FRA","19'","19","0","first half","0","0"
"2","G-0002","1930","1930 FIFA World Cup","M-1930-01","France v Mexico","1930-07-13","group stage","Group 1","T-28","France","FRA","1","0","P-05670","Langiller","Marcel","0","T-28","France","FRA","40'","40","0","first half","0","0"
"3","G-0003","1930","1930 FIFA World Cup","M-1930-01","France v Mexico","1930-07-13","group stage","Group 1","T-28","France","FRA","1","0","P-07295","Maschinot","André","0","T-28","France","FRA","43'","43","0","first half","0","0"
"4","G-0004","1930","1930 FIFA World Cup","M-1930-01","France v Mexico","1930-07-13","group stage","Group 1","T-28","France","FRA","1","0","P-07295","Maschinot","André","0","T-28","France","FRA","87'","87","0","second half","0","0"
"5","G-0005","1930","1930 FIFA World Cup","M-1930-01","France v Mexico","1930-07-13","group stage","Group 1","T-44","Mexico","MEX","0","1","P-03952","Carreño","Juan","0","T-44","Mexico","MEX","70'","70","0","second half","0","0"
"6","G-0006","1930","1930 FIFA World Cup","M-1930-02","United States v Belgium","1930-07-13","group stage","Group 4","T-79","United States","USA","1","0","P-09935","McGhee","Bart","0","T-79","United States","USA","23'","23","0","first half","0","0"
"7","G-0007","1930","1930 FIFA World Cup","M-1930-02","United States v Belgium","1930-07-13","group stage","Group 4","T-79","United States","USA","1","0","P-06672","Florie","Tom","0","T-79","United States","USA","45'","45","0","first half","0","0"
"8","G-0008","1930","1930 FIFA World Cup","M-1930-02","United States v Belgium","1930-07-13","group stage","Group 4","T-79","United States","USA","1","0","P-09215","Patenaude","Bert","0","T-79","United States","USA","69'","69","0","second half","0","0"
"9","G-0009","1930","1930 FIFA World Cup","M-1930-03","Yugoslavia v Brazil","1930-07-14","group stage","Group 2","T-83","Yugoslavia","YUG","1","0","P-00319","Tirnanić","Aleksandar","0","T-83","Yugoslavia","YUG","21'","21","0","first half","0","0"
"10","G-0010","1930","1930 FIFA World Cup","M-1930-03","Yugoslavia v Brazil","1930-07-14","group stage","Group 2","T-83","Yugoslavia","YUG","1","0","P-06435","Bek","Ivan","0","T-83","Yugoslavia","YUG","30'","30","0","first half","0","0"
"11","G-0011","1930","1930 FIFA World Cup","M-1930-03","Yugoslavia v Brazil","1930-07-14","group stage","Group 2","T-09","Brazil","BRA","0","1","P-03855","Preguinho","not applicable","0","T-09","Brazil","BRA","62'","62","0","second half","0","0"
"12","G-0012","1930","1930 FIFA World Cup","M-1930-04","Romania v Peru","1930-07-14","group stage","Group 3","T-58","Romania","ROU","1","0","P-00978","Deşu","Adalbert","0","T-58","Romania","ROU","1'","1","0","first half","0","0"
"13","G-0013","1930","1930 FIFA World Cup","M-1930-04","Romania v Peru","1930-07-14","group stage","Group 3","T-58","Romania","ROU","1","0","P-04102","Stanciu","Constantin","0","T-58","Romania","ROU","79'","79","0","second half","0","0"
"14","G-0014","1930","1930 FIFA World Cup","M-1930-04","Romania v Peru","1930-07-14","group stage","Group 3","T-58","Romania","ROU","1","0","P-02034","Kovács","Miklós","0","T-58","Romania","ROU","89'","89","0","second half","0","0"
"15","G-0015","1930","1930 FIFA World Cup","M-1930-04","Romania v Peru","1930-07-14","group stage","Group 3","T-54","Peru","PER","0","1","P-00521","Souza Ferreira","Luis","0","T-54","Peru","PER","75'","75","0","second half","0","0"
"16","G-0016","1930","1930 FIFA World Cup","M-1930-05","Argentina v France","1930-07-15","group stage","Group 1","T-03","Argentina","ARG","1","0","P-03789","Monti","Luis","0","T-03","Argentina","ARG","81'","81","0","second half","0","0"
"17","G-0017","1930","1930 FIFA World Cup","M-1930-06","Chile v Mexico","1930-07-16","group stage","Group 1","T-13","Chile","CHL","1","0","P-04216","Vidal","Carlos","0","T-13","Chile","CHL","3'","3","0","first half","0","0"
"18","G-0018","1930","1930 FIFA World Cup","M-1930-06","Chile v Mexico","1930-07-16","group stage","Group 1","T-13","Chile","CHL","1","0","P-04216","Vidal","Carlos","0","T-13","Chile","CHL","65'","65","0","second half","0","0"
"19","G-0019","1930","1930 FIFA World Cup","M-1930-06","Chile v Mexico","1930-07-16","group stage","Group 1","T-13","Chile","CHL","1","0","P-04652","Rosas","Manuel","0","T-44","Mexico","MEX","52'","52","0","second half","1","0"
"20","G-0020","1930","1930 FIFA World Cup","M-1930-07","Yugoslavia v Bolivia","1930-07-17","group stage","Group 2","T-83","Yugoslavia","YUG","1","0","P-06435","Bek","Ivan","0","T-83","Yugoslavia","YUG","60'","60","0","second half","0","0"
"21","G-0021","1930","1930 FIFA World Cup","M-1930-07","Yugoslavia v Bolivia","1930-07-17","group stage","Group 2","T-83","Yugoslavia","YUG","1","0","P-06435","Bek","Ivan","0","T-83","Yugoslavia","YUG","67'","67","0","second half","0","0"
"22","G-0022","1930","1930 FIFA World Cup","M-1930-07","Yugoslavia v Bolivia","1930-07-17","group stage","Group 2","T-83","Yugoslavia","YUG","1","0","P-00296","Marjanović","Blagoje","0","T-83","Yugoslavia","YUG","65'","65","0","second half","0","0"
"23","G-0023","1930","1930 FIFA World Cup","M-1930-07","Yugoslavia v Bolivia","1930-07-17","group stage","Group 2","T-83","Yugoslavia","YUG","1","0","P-03989","Vujadinović","Đorđe","0","T-83","Yugoslavia","YUG","85'","85","0","second half","0","0"
"24","G-0024","1930","1930 FIFA World Cup","M-1930-08","United States v Paraguay","1930-07-17","group stage","Group 4","T-79","United States","USA","1","0","P-09215","Patenaude","Bert","0","T-79","United States","USA","10'","10","0","first half","0","0"
"25","G-0025","1930","1930 FIFA World Cup","M-1930-08","United States v Paraguay","1930-07-17","group stage","Group 4","T-79","United States","USA","1","0","P-09215","Patenaude","Bert","0","T-79","United States","USA","15'","15","0","first half","0","0"
"26","G-0026","1930","1930 FIFA World Cup","M-1930-08","United States v Paraguay","1930-07-17","group stage","Group 4","T-79","United States","USA","1","0","P-09215","Patenaude","Bert","0","T-79","United States","USA","50'","50","0","second half","0","0"
"27","G-0027","1930","1930 FIFA World Cup","M-1930-09","Uruguay v Peru","1930-07-18","group stage","Group 3","T-80","Uruguay","URY","1","0","P-00826","Castro","Héctor","0","T-80","Uruguay","URY","65'","65","0","second half","0","0"
"28","G-0028","1930","1930 FIFA World Cup","M-1930-10","Chile v France","1930-07-19","group stage","Group 1","T-13","Chile","CHL","1","0","P-04702","Subiabre","Guillermo","0","T-13","Chile","CHL","67'","67","0","second half","0","0"
"29","G-0029","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","8'","8","0","first half","0","0"
"30","G-0030","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","17'","17","0","first half","0","0"
"31","G-0031","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","80'","80","0","second half","0","0"
"32","G-0032","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-03","Argentina","ARG","1","0","P-00455","Zumelzú","Adolfo","0","T-03","Argentina","ARG","12'","12","0","first half","0","0"
"33","G-0033","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-03","Argentina","ARG","1","0","P-00455","Zumelzú","Adolfo","0","T-03","Argentina","ARG","55'","55","0","second half","0","0"
"34","G-0034","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-03","Argentina","ARG","1","0","P-00290","Varallo","Francisco","0","T-03","Argentina","ARG","53'","53","0","second half","0","0"
"35","G-0035","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-44","Mexico","MEX","0","1","P-04652","Rosas","Manuel","0","T-44","Mexico","MEX","42'","42","0","first half","0","1"
"36","G-0036","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-44","Mexico","MEX","0","1","P-04652","Rosas","Manuel","0","T-44","Mexico","MEX","65'","65","0","second half","0","0"
"37","G-0037","1930","1930 FIFA World Cup","M-1930-11","Argentina v Mexico","1930-07-19","group stage","Group 1","T-44","Mexico","MEX","0","1","P-04746","Gayón","Roberto","0","T-44","Mexico","MEX","75'","75","0","second half","0","0"
"38","G-0038","1930","1930 FIFA World Cup","M-1930-12","Brazil v Bolivia","1930-07-20","group stage","Group 2","T-09","Brazil","BRA","1","0","P-04578","Moderato","not applicable","0","T-09","Brazil","BRA","37'","37","0","first half","0","0"
"39","G-0039","1930","1930 FIFA World Cup","M-1930-12","Brazil v Bolivia","1930-07-20","group stage","Group 2","T-09","Brazil","BRA","1","0","P-04578","Moderato","not applicable","0","T-09","Brazil","BRA","73'","73","0","second half","0","0"
"40","G-0040","1930","1930 FIFA World Cup","M-1930-12","Brazil v Bolivia","1930-07-20","group stage","Group 2","T-09","Brazil","BRA","1","0","P-03855","Preguinho","not applicable","0","T-09","Brazil","BRA","57'","57","0","second half","0","0"
"41","G-0041","1930","1930 FIFA World Cup","M-1930-12","Brazil v Bolivia","1930-07-20","group stage","Group 2","T-09","Brazil","BRA","1","0","P-03855","Preguinho","not applicable","0","T-09","Brazil","BRA","83'","83","0","second half","0","0"
"42","G-0042","1930","1930 FIFA World Cup","M-1930-13","Paraguay v Belgium","1930-07-20","group stage","Group 4","T-53","Paraguay","PRY","1","0","P-06978","Vargas Peña","Luis","0","T-53","Paraguay","PRY","40'","40","0","first half","0","0"
"43","G-0043","1930","1930 FIFA World Cup","M-1930-14","Uruguay v Romania","1930-07-21","group stage","Group 3","T-80","Uruguay","URY","1","0","P-00275","Dorado","Pablo","0","T-80","Uruguay","URY","7'","7","0","first half","0","0"
"44","G-0044","1930","1930 FIFA World Cup","M-1930-14","Uruguay v Romania","1930-07-21","group stage","Group 3","T-80","Uruguay","URY","1","0","P-02775","Scarone","Héctor","0","T-80","Uruguay","URY","26'","26","0","first half","0","0"
"45","G-0045","1930","1930 FIFA World Cup","M-1930-14","Uruguay v Romania","1930-07-21","group stage","Group 3","T-80","Uruguay","URY","1","0","P-08997","Anselmo","Peregrino","0","T-80","Uruguay","URY","31'","31","0","first half","0","0"
"46","G-0046","1930","1930 FIFA World Cup","M-1930-14","Uruguay v Romania","1930-07-21","group stage","Group 3","T-80","Uruguay","URY","1","0","P-00724","Cea","Pedro","0","T-80","Uruguay","URY","35'","35","0","first half","0","0"
"47","G-0047","1930","1930 FIFA World Cup","M-1930-15","Argentina v Chile","1930-07-22","group stage","Group 1","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","12'","12","0","first half","0","0"
"48","G-0048","1930","1930 FIFA World Cup","M-1930-15","Argentina v Chile","1930-07-22","group stage","Group 1","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","13'","13","0","first half","0","0"
"49","G-0049","1930","1930 FIFA World Cup","M-1930-15","Argentina v Chile","1930-07-22","group stage","Group 1","T-03","Argentina","ARG","1","0","P-06416","Evaristo","Mario","0","T-03","Argentina","ARG","51'","51","0","second half","0","0"
"50","G-0050","1930","1930 FIFA World Cup","M-1930-15","Argentina v Chile","1930-07-22","group stage","Group 1","T-13","Chile","CHL","0","1","P-04702","Subiabre","Guillermo","0","T-13","Chile","CHL","15'","15","0","first half","0","0"
"51","G-0051","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-03789","Monti","Luis","0","T-03","Argentina","ARG","20'","20","0","first half","0","0"
"52","G-0052","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-03988","Scopelli","Alejandro","0","T-03","Argentina","ARG","56'","56","0","second half","0","0"
"53","G-0053","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","69'","69","0","second half","0","0"
"54","G-0054","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","87'","87","0","second half","0","0"
"55","G-0055","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-03816","Peucelle","Carlos","0","T-03","Argentina","ARG","80'","80","0","second half","0","0"
"56","G-0056","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-03816","Peucelle","Carlos","0","T-03","Argentina","ARG","85'","85","0","second half","0","0"
